Content3,BandName,BandLength,SpectrometerType,Grating,Supplier,Remark,Content1,Content2,Class,FC,
,V29,630-850nm,EE,1200g 850nm,NP,,TL03-000-000046,"LP570-W-001-120, Entrance filter for NIRx (非NIRA)",,,
,V31,540-685nm,EE,1800g 500nm,NP,,TL03-000-000074,"LP450-Q-007-150, Entrance filter for TP2 V13, V13A",,,
,V33,450-700nm,HB,1200g 850nm,NP,,TL03-000-000060,LP360 Entrance Filter,,,
,V34,650-820nm,EE,1500g 600nm,NP,,TL03-000-000046,"LP570-W-001-120, Entrance filter for NIRx (非NIRA)",,,
,V35,530-800nm,EE,1200g 500nm,OM,,TL03-000-000074,"LP450-Q-007-007C Entrance filter for TP2 V13, V13A",,,
,V37,500-800nm,HB,900g 550nm,NP,,TL03-000-000086,"LP450-S-007-150, Entrance filter for TP2 V13, V13A",,,
,V38,300-420nm,EE,2400g 400nm,OM,,"TL03-000-000053(用完轉78)
TL03-000-000078","LP360-Q-007-110, For DUV3, FUV2 (SE1xxx)
LP360-S-009-040 For DUV3, DUV4, FUV1, FUV2 (SE)",,,
,V39,650-800nm,EE,1500g 600nm,NP,,TL03-000-000046,"LP570-W-001-120, Entrance filter for NIRx (非NIRA)",,,
"穿透式光路
VIS",V25,535-650nm,PD,1500g 600nm,NP,,"TL03-000-000021+
TL03-000-000007","Glass (EXG0.5) CCD554/S11639+
EGX 3*3*0.5 (Band Pass 鍍膜)","PD1080/2080(R:<0.1,<0.2)",,
,V26,535-565nm,PD,2400g 300nm,NP,,,,PD1050(R:<0.15),,
,V30,548-658nm,PD,1500g 600nm,NP,,"TL03-000-000021+
TL03-000-000007","Glass (EXG0.5) CCD554/S11639+
EGX 3*3*0.5 (Band Pass 鍍膜)",,,
,V32,625-818nm,"PD, MG",1000g 900nm,NP,,"TL03-000-000021+
TL03-000-000007","Glass (EXG0.5) CCD554/S11639+
EGX 3*3*0.5 (Band Pass 鍍膜)",,,
,V36,535-685nm,PD,1200g 850nm,NP,,"TL03-000-000021+
TL03-000-000007","Glass (EXG0.5) CCD554/S11639+
EGX 3*3*0.5 (Band Pass 鍍膜)",,,
,VT1,380-445nm,PD,2400g 300nm,NP,,TL03-000-000060,"LP360-Q-007-150, Entrance filter for V3,7,16",,,
,UVN,300-1000nm,"SD, SP, MS",,,,TL03-000-000003,LP570 FOR G61A,,,
,DUV,200-800nm,"SD, SP, MS, SU",,,,TL03-000-000005,LP430 FOR G61A (已全部由 LP570 FOR G61A 取代),,,
,DUV1,200-900nm,AM,,,,TL03-000-000040,LP500-Q-006-008 For UMUV,,,
,DUV2,200-850nm,"PH
SB",600g 250nm,NP,,TL03-000-000084,"LP450-S-007-070, For TP1 FUV, V2, V4 , TP2 VB",,,
,"DUV2A
(光柵效率不好，不再生產)",200-850nm,SB,500g 240nm,NP,,TL03-000-000097,LP570-S-006-240 for SB_200-850nm,,,
,DUV2B,200-850nm,SB,500g 330nm,NP,,TL03-000-000097,LP570-S-006-240 for SB_200-850nm,,,
,DUV2C,200-850nm,SB,500g 560nm,NP,,TL03-000-000097,LP570-S-006-240 for SB_200-850nm,,,
,DUV2D,200-850nm,PH,300g 300nm,OM,,TL03-000-000092,LP500-Q-006-220 for PH2034-FUVN,,,
,DUV3,200-500nm,SE,1200g 300nm,NP,,TL03-000-000078,"LP360-S-009-040 For DUV3, DUV4, FUV1, FUV2 (SE)",,,
,DUV4,250-550nm,SE,1200g 300nm,NP,,TL03-000-000078,"LP360-S-009-040 For DUV3, DUV4, FUV1, FUV2 (SE)",,,
,DUV5,200-870nm,SE,600g 300nm,SH NP OM,,TL03-000-000035,"LP450-Q-007-007 For TP1 FUV, V2, V4 ; TP2 VB",,,
,DUV6,200-600nm,SE,1000g 250nm,NP,,TL03-000-000078,"LP360-S-009-040 For DUV3, DUV4, FUV1, FUV2 (SE)",,,
,DUV7,200-400nm,SE,1800g 250nm,NP,,TL03-000-000079,"LP360-S-009-050 For FUV4, FUV5 (SE)",,,
,DUV8,270-410nm,EE,2400g 240nm,NP,,TL03-000-000078,"LP360-S-009-040 For DUV3, DUV4, FUV1, FUV2 (SE)",,,
,DUV9,200-300nm,EE,2700g 259nm,NP,,TL03-000-000068,"LP360-Q-009-050, For FUV4, FUV5 (SE)",,,
,FUV,180-850nm,"SE, EE,",600g 250nm,NP,,TL03-000-000084,"LP450-S-007-070, For TP1 FUV, V2, V4 , TP2 VB",SE2030(R:1.9)(Water Quality Analysis),,
,FUVA,180-850nm,HB,500g 330nm,NP,,"HB: TL03-000-000075
SB:  TL03-000-000097","LP450-Q-007-010 For TP2 FUV, FUVA
LP570-S-006-240 for SB_200-850nm",HB2034(R:1.9)/HB2094(R:1.9)(Water Quality/ DNA Detection),,
,,,SB,,,,,,SB3134/SB4134/SB4130,,
,FUVB,180-850nm,SB,500g 240nm,NP,,TL03-000-000097,LP570-S-006-240 for SB_200-850nm,SB3134(R:4.2)/SB4134(R:4.2)/SB4130(R:6.2),,
,FUV1,180-400nm,SE,1200g 300nm,NP,,TL03-000-000078,"LP360-S-009-040 For DUV3, DUV4, FUV1, FUV2 (SE)",,,
,FUV1A,180-400nm,"SE, HB",1200g 200nm,NP,,TL03-000-000078,"LP360-S-009-040 For DUV3, DUV4, FUV1, FUV2 (SE)",,,
,FUV1B,180-400nm,(N/A),500g 300nm,SH,,TL03-000-000037,"LP570-Q-008-006 For DUVN, FUVN (UV系列)",,,
,FUV2,180-500nm,SE,1200g 300nm,NP,,TL03-000-000078,"LP360-S-009-040 For DUV3, DUV4, FUV1, FUV2 (SE)",SE2030(R:1.9)(Water Quality Analysis),,
,FUV2A,180-500nm,SE,1200g 200nm,NP,,TL03-000-000078,"LP360-S-009-040 For DUV3, DUV4, FUV1, FUV2 (SE)",SE2030(R:1.9)(Water Quality Analysis),,
,,,HB,,,,,,HB2034(R:02)/HB2094(R:02)(Air Analysis),,
,FUV2B,180-500nm,HB,1200g 250nm,SH,,TL03-000-000090,LP360-S-009-200 For HB FUV2-LY,,,
,FUV3,190-340nm,SE,1800g 250nm,NP,,NA,"NA(安榮信專用波段), (其他)",,,
,FUV3A,190-340nm,SE,1800g 180nm,NP,,NA,"NA(安榮信專用波段), (其他)",,,
,FUV4,180-360nm,"SE, EE",1800g 250nm,NP,,NA,NA,,,
,FUV4A,180-360nm,SE,1800g 180nm,NP,,NA,NA,,,
,FUV5,190-380nm,SE,1800g 250nm,NP,,,,,,
,FUV6,220-420nm,SE,1800g 250nm,NP,,,,,,
,FUV7,190-430nm,SE,1600g 200nm,NP,,TL03-000-000079,"LP360-S-009-050 For FUV4, FUV5 (SE)",,,
,FUV8,180-330nm,"SE, HB",2400g 240nm,NP,,NA,NA,,,
,FUV9,190-450nm,HB,1400g 230nm,ZEISS,,TL03-000-000089,LP360-S-009-190 For HB FUV9-LY,,,
,FUV10,180-480nm,"SE, HB",1200g 200nm,NP,,TL03-000-000078,"LP360-S-009-040 For DUV3, DUV4, FUV1, FUV2 (SE)",,,
,FUV11,180-390nm,EE,1800g 250nm,NP,,NA,(no 2nd-order filter),,,
,FUV12,190-400nm,SE,1800g 250nm,NP,,TL03-000-000079,"LP360-S-009-050 For FUV4, FUV5 (SE)",,,
,FUV13,185-425nm,NV,1600g 200nm,NP,,,,,,
,FUV14,180-420nm,SE,1600g 200nm,NP,,TL03-000-000079,"LP360-S-009-050 For FUV4, FUV5 (SE)",,,
,FUV15,180-470nm,SB,900g 200nm,SH,,TL03-000-000103,LP450-S-007-290 for SB_180-470nm,,,
,"FUV16
(光柵效率不好，不再生產)",180-800nm,SB,500g 240nm,NP,,TL03-000-000097,LP570-S-006-240 for SB_200-850nm,,,
,FUV17,190-860nm,SE,600g 250nm,NP,,TL03-000-000084,"LP450-S-007-070, For TP1 FUV, V2, V4 , TP2 VB",,,
,FUV18,200-350nm,SE,2400g 240nm,NP,,NA,NA,,,
,FUV19,180-700nm,SB,600g 250nm,NP,,TL03-000-000103,LP450-S-007-290 for SB_180-470nm,,,
,FUV20,180-350nm,SB,1200g,,,,,,,業務預定波段，3月底沒來需求再取消
,FUV21,180-800nm,SB,500g 330nm,,,TL03-000-000097,LP570-S-006-240 for SB_200-850nm,,,
,VNIR,350-1020nm,"SE, EE, AA,",600g 500nm,"OM, NP, SH",,TL03-000-000033,LP570-W-002-001 For VNIR,"SE2030(R:1.9)/SE4030(R:1.9)/SE2090(R:1.9)/SE2120(R:1.9)/SE4120(R:1.9)(LED Test)
SE1040(R:1.9)(Educational Requirement)",,
,,,HB,,,,,,"HB2034(R:1.9)/HB2094(R:1.9)(LED Test)
HB2034(Food Analysis)",,
,VNIRA,350-1020nm,SE,600g 250nm,NP,,TL03-000-000033,LP570-W-002-001 For VNIR,"SE2030(R:1.9)/SE4030(R:1.9)/SE2090(R:1.9)/SE2120(R:1.9)/SE4120(R:1.9)(LED Test)
SE1040(Educational Requirement)",,
,VNIRB,350-1020nm,SE,600g 400nm,"OM, NP",,TL03-000-000033,LP570-W-002-001 For VNIR,"SE2030(R:1.9)/SE4030(R:1.9)/SE2090(R:1.9)/SE2120(R:1.9)/SE4120(R:1.9)(LED Test)
SE1040(Educational Requirement)",,
,VNIRC,350-1020nm,SE,600g 800nm,NP,,TL03-000-000033,LP570-W-002-001 For VNIR,"SE2030(R:1.9)/SE4030(R:1.9)/SE2090(R:1.9)/SE2120(R:1.9)/SE4120(R:1.9)(LED Test)
SE1040(Educational Requirement)",,
,VNIRD,350-1020nm,HB,500g 560nm,NP,,TL03-000-000033,LP570-W-002-001 For VNIR,"HB2034(R:1.9)/ HB2094(R:1.9)(LED Test)
HB2034(R:2.3)(Food Analysis)",,
,VNIRE,350-1020nm,SE,600g 1000nm,OM,,TL03-000-000033,LP570-W-002-001 For VNIR,SE2030(R:1.9)/SE4030(R:1.9)/SE2090(R:1.9)/SE2120(R:1.9)/SE4120(R:1.9)(LED Test),,
,VNIRF,350-1020nm,HB,600g 500nm,OM,,"TL03-000-000033+
客供MEQ filter",LP570-W-002-001 For VNIR,"HB2034(R:1.9)/ HB2094(R:1.9)(LED Test)
HB2034(R:2.3)(Food Analysis)",,
