Content3,BandName,BandLength,SpectrometerType,Grating,Supplier,Remark,Content1,Content2,Class,FC,
,NIRA4,950-1700nm,SW2520,120g 1000nm,SH,,"TL03-000-000051+
TL03-000-000088","LP875-W-NA-140, Entrance Filter for NIRA, NIRB, NIRC+
LP850-C-NA-002",,Q:為何2520還有950-1700nm(P12),
,NIRB,900-1650nm,SW,"236.8g 1350nm, Angle 9.2°",NP,,"TL03-000-000051+
TL03-000-000088","LP875-W-NA-140, Entrance Filter for NIRA, NIRB, NIRC+
LP850-C-NA-002",,,
,NIRB1,900-1650nm,SW,250g 1000nm,NP,,"TL03-000-000051+
TL03-000-000088","LP875-W-NA-140, Entrance Filter for NIRA, NIRB, NIRC+
LP850-C-NA-002",,,
,NIRB4,900-1650nm,SW2520,120g 1000nm,SH,,"TL03-000-000051+
TL03-000-000088","LP875-W-NA-140, Entrance Filter for NIRA, NIRB, NIRC+
LP850-C-NA-002",,Q:為何2520還有950-1700nm(P12),
,NIRC,900-1700nm,"SW, AA, CS2SW","236.8g 1350nm, Angle 9.2°",NP,,"TL03-000-000051+
TL03-000-000088","LP875-W-NA-140, Entrance Filter for NIRA, NIRB, NIRC+
LP850-C-NA-002","一階致冷-SW2860(R:6)/SW2870(R:5)
SW2520(R:11)/ SW2560(R:6)/SW2570(R:4)",,
,NIRC1,900-1700nm,PH2524,150g 1250nm,NP,,"TL03-000-000051+
TL03-000-000088","LP875-W-NA-140, Entrance Filter for NIRA, NIRB, NIRC+
LP850-C-NA-002",PH2524(R:14)/ PH2534(R:6),,
,NIRC2,900-1700nm,PH2534,300g 1200nm,NP,,"PH-NIR: 
TL03-000-000051+
TL03-000-000088
DF: 
TL03-000-000083","LP875-W-NA-140, Entrance Filter for NIRA, NIRB, NIRC+
LP850-C-NA-002
LP875-W-NA-170",PH2524(R:14)/ PH2534(R:6),,
,,,DF,,,,,,DF1514(R:<12),,
,NIRC3,900-1700nm,RB,293.53g 1300nm,NP,,TL03-000-000088,LP850-C-NA-002,RB4524(R:13.5)/RB4564(R:8.5),,
,NIRC4,900-1700nm,SW2520,120g 1000nm,SH,,"TL03-000-000051+
TL03-000-000088","LP875-W-NA-140, Entrance Filter for NIRA, NIRB, NIRC+
LP850-C-NA-002","一階致冷-SW2860(R:6)/SW2870(R:5)
SW2520(R:11)/ SW2560(R:6)/SW2570(R:4)",,
,NIRD,900-2500nm,SW,120g 1800nm,SH,,"TL03-000-000064+
TL03-000-000088+
TL03-000-000051","LP1350-W-010-010, For NIRD+
LP850-C-NA-002
LP875-W-NA-140, Entrance Filter for NIRA, NIRB, NIRC",二階致冷-SW2960(R:10.5)/SW2970(R:9),,
,NIRE,1090-1450nm,SW,400g 1200nm,NP,,TL03-000-000088,LP850-C-NA-002,,,
,NIRF,1080-1440nm,SW,400g 1200nm,NP,,TL03-000-000088,LP850-C-NA-002,,,
,NIRG,1290-1650nm,SW,400g 1200nm,NP,,TL03-000-000088,LP850-C-NA-002,,,
,NIRH,900-1800nm,SW,200g 1050nm,NP,,"TL03-000-000051+
TL03-000-000088","LP875-W-NA-140, Entrance Filter for NIRA, NIRB, NIRC+
LP850-C-NA-002",,,
,NIRH1,900-1800nm,SW,200g 1550nm,NP,,"TL03-000-000051+
TL03-000-000088","LP875-W-NA-140, Entrance Filter for NIRA, NIRB, NIRC+
LP850-C-NA-002",,,
,NIRJ,950-1750nm,SW,"236.8g 1350nm, Angle 9.2°",NP,,"TL03-000-000051+
TL03-000-000088","LP875-W-NA-140, Entrance Filter for NIRA, NIRB, NIRC+
LP850-C-NA-002",,,
,NIRK,1450-1650nm,SW,600g 1600nm,NP,,"TL03-000-000051+
TL03-000-000088","LP875-W-NA-140, Entrance Filter for NIRA, NIRB, NIRC+
LP850-C-NA-002",,,
,NIRL,1240-1390nm,SW,830g 1200nm,NP,,"TL03-000-000051+
TL03-000-000088","LP875-W-NA-140, Entrance Filter for NIRA, NIRB, NIRC+
LP850-C-NA-002",,,
,NIRM,1340-2280nm,DF,265g 1600nm,NP,,"TL03-000-000106+
TL03-000-000107","LP1000-C-NA-300, For DF-NIRM+
LP1270-W-004-170, For DF-NIRM",DF1824(R:<14),,
,NIRN,1600-1950nm,SW,400g 1600nm,NP,,,,,,
,NIRP,1600-2500nm,SW,200g 1550nm,NP,,"TL03-000-000099+
TL03-000-000088","LP1290-W-004-020, LP1290 Entrance filter+
LP850-C-NA-002",,,
停用,NIRQ,1522-1578nm,"PD, MG",830g 1200nm,NP,,,,PD2570(R:<0.2),,
,NIRS,1050-1650nm,SW,300g 1200nm,NP,,"TL03-000-000051+
TL03-000-000088","LP875-W-NA-140, Entrance Filter for NIRA, NIRB, NIRC+
LP850-C-NA-002",,,
"穿透式光路
NIR",NIRT1,800-880nm,DB,1800g 840nm,WS,,NA,,DB1020F(R:0.04nm)/DB1080F(R:0.04nm),,
,NIRT1B,800-880nm,PD,1200g 850nm,NP,,,,,,
,NIRT2,830-970nm,MR,1500g 930nm,II-VI,,NA,,MR1080(840nm-R:0.076；881nm-R:0.088；937nm-R:0.079),,
,NIRT3,750-925nm,PD,1000g 900nm,NP,,TL03-000-000054,"LP500-Q-006-150, LP500 Entrance filter",,,
,NIRT4,1270-1350,PD,750g 1200nm,NP,,,,,,
,NIRT5,802-878nm,PD,1500g 600nm,NP,,TL03-000-000021,Glass (EXG0.5) CCD554/S11639,,,
,NIRT6,1522-1578nm,"PD, MG",830g 1200nm,NP,,,,,,
,NIRT7,790-960nm,MG,1000g 900nm,NP,,TL03-000-000050,"LP785-S-NA-010, Entrance Filter for NIR1, NIR4 Raman",,,
,NIRT8,1060-1200nm,MG,600g 1200nm,NP,,TL03-000-000088,LP850-C-NA-002,,,
,NIRT9,900-1050nm,MG,600g 1200nm,NP,,TL03-000-000046,"LP570-W-001-120, Entrance filter for NIRx (非NIRA)",,,
,NIRT10,780-900nm,PD,1200g 850nm,NP,,TL03-000-000054,"LP500-Q-006-150, LP500 Entrance filter",,,
,NIRT11,1500-1600nm,PD,600g 1600nm,NP,,TL03-000-000088,LP850-C-NA-002,,,
,NIRU,910-2200nm,SW,150g 1250nm,NP,,TL03-000-000102,"LP1270-W-004-010, For NIRT",二階致冷-SW2930(R:7),,
,NIRU1,910-2200nm,SW,150g 1450nm,NP,,TL03-000-000102,"LP1270-W-004-010, For NIRT",二階致冷-SW2930(R:7),,
,DUV5,200-870nm,SE,600g 300nm,OM,,TL03-000-000035,"LP450-Q-007-007 For TP1 FUV, V2, V4 ; TP2 VB",,,
